"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","�..X","Y","objectid","pcds","oa11","laua","ward","lsoa11","msoa11","rgn"
"CAR GIANT LIMITED","44 Hythe Road,
London,
United Kingdom,
NW10 6RS","1407612","45112",6.4,-2.9,55.3,10.3,98.8,100,91.9,8.1,91.9,8.1,84.3,15.7,94.1,5.9,"https://www.cargiant.co.uk/media/2135/gender-pay-report-2017-cargiant.pdf","Michael Holahan (Finance Director)","500 to 999","CAR GIANT LIMITED",FALSE,-0.239954317680487,51.5264931425423,1640663,"NW10 6RS","E00009369","E09000013","E05000253","E01001877","E02000372","E12000007"
"CARDINAL SECURITY LIMITED","Cartwrights,
33 Wood Street,
Barnet,
Hertfordshire,
England,
EN5 4BE","4714467","80100",-11,-4,0,0,0,0,96,4,98,2,95,5,90,10,"","Natalie Clack (Head of HR)","Not Provided","CARDINAL SECURITY LIMITED",FALSE,-0.202465445484503,51.6528169034438,798000,"EN5 4BE","E00001425","E09000003","E05000060","E01000292","E02000024","E12000007"
"CARE LINE HOMECARE LIMITED","101-103 Baker Street,
3rd Floor Caparo House,
London,
England,
W1U 6EF","3571286","87300,
88990",-0.9,-1.1,0,0,0,0,13,87,10,90,9,91,8,92,"","Max Wurr (Director of Policy and Communications)","500 to 999","CARE LINE HOMECARE LIMITED",TRUE,-0.157206384279974,51.5207352129756,2440834,"W1U 6EF","E00023830","E09000033","E05000641","E01004712","E02000967","E12000007"
"Care Quality Commission","151 Buckingham Palace Road,
London,
London,
United Kingdom,
SW1W 9SZ","","1",1.2,-1,0,0,0,0,36.6,63.4,28.1,71.9,27.4,72.6,31.5,68.5,"http://www.cqc.org.uk/about-us/transparency/salaries-structure-staff-survey#genderpay","","1000 to 4999","Care Quality Commission",FALSE,-0.146494247972762,51.493102720907,2243238,"SW1W 9SZ","E00175209","E09000033","E05000647","E01004750","E02000982","E12000007"
"CAREER LEGAL LIMITED","4th, Floor Camomile Court,
23 Camomile Street,
London,
EC3A 7LL","2477115","78200",5,16.4,-54.4,-93.2,6.9,6.9,23,77,37,63,42,58,34,66,"http://www.careerlegal.co.uk/gender-pay-gap-report","Wendy Winslet (HR Director)","250 to 499","CAREER LEGAL LIMITED",FALSE,-0.08035329431333,51.5157975486827,753926,"EC3A 7LL","E00166755","E09000001","E05009292","E01032739","E02000001","E12000007"
"CARITAS RECRUITMENT LTD","222, Bishopsgate,
London,
EC2M 4QD","6728939","78200",-16.6,0,50.2,70.7,44,50,76,24,43,57,52,48,20,80,"","Heather Salway (HR Director)","250 to 499","CARITAS RECRUITMENT LTD",FALSE,-0.079310067742837,51.5186671105484,751479,"EC2M 4QD","E00166755","E09000001","E05009292","E01032739","E02000001","E12000007"
"CARLTON TOWER LIMITED(THE)","71, Queen Victoria Street,
London,
England,
EC4V 4AY","1575177","55100",13.3,8.6,32.5,0,92.6,89.2,53.3,46.7,53.3,46.7,55.6,44.4,63.7,36.3,"https://www.jumeirah.com/globalassets/documents/jct/gender-pay-report---jumeirah-carlton-tower---29.03.2018.pdf","Luc Delafosse (Regional VP Ops - Europe & General Manager - Jumeirah Carlton Tower)","250 to 499","CARLTON TOWER LIMITED(THE)",FALSE,-0.094796251940549,51.511977433585,757679,"EC4V 4AY","E00166757","E09000001","E05009309","E01032739","E02000001","E12000007"
"CARLUCCIO'S LIMITED","35 Rose Street,
Covent Garden,
London,
United Kingdom,
WC2E 9EB","2001576","46380,
47290,
56101",5.9,4,-1.9,-6.4,78.9,78.1,44.9,55.1,53,47,65.9,34.1,64.9,35.1,"","Andrea Leek (HR Director)","1000 to 4999","CARLUCCIO'S LIMITED",FALSE,-0.12560475841049,51.5117274024109,2488661,"WC2E 9EB","E00023934","E09000033","E05000644","E01004734","E02000977","E12000007"
"CARTER JONAS SERVICE COMPANY","One,
Chapel Place,
London,
United Kingdom,
W1G 0BG","786457","68310,
68320",31.4,37.1,51.2,50,64.6,59.8,20.6,79.4,37.6,62.4,55.2,44.8,67.7,32.3,"https://www.carterjonas.co.uk/documents/files/gender-pay-gap-report-2018.pdf","Claire Matthews (Head of HR)","500 to 999","CARTER JONAS SERVICE COMPANY",FALSE,-0.146847439126088,51.5152843197009,2430412,"W1G 0BG","E00024129","E09000033","E05000649","E01004765","E02000972","E12000007"
"CASKADE CATERERS LIMITED","The Pavilion,
56 Rosslyn Crescent,
Harrow,
Middlesex,
United Kingdom,
HA1 2SZ","1856120","56101",1.5,0,-7,17,10.2,12.8,61,39,59,41,51,49,58,42,"","Mayooran Senthilmani (Finance Director)","500 to 999","CASKADE CATERERS LIMITED",FALSE,-0.329480105917245,51.5874838922759,965724,"HA1 2SZ","E00010671","E09000015","E05000288","E01002130","E02000452","E12000007"
